,Department,Difficulty,Hot,Number_Ratings,Score,Tag,Take_Again,pk_id
75,Communication,2.5,0,28,4.3,Participation matters,N/A,132328
76,Humanities,2.9,0,28,4.0,Gives good feedback,N/A,238966
77,Physical,1.1,1,28,4.4,,N/A,1467260
78,Humanities,1.9,0,27,3.1,Gives good feedback,N/A,395668
79,Finance,2.9,0,27,3.0,LOTS OF HOMEWORK,N/A,536014
80,Marketing,3.1,0,27,3.5,GROUP PROJECTS,N/A,651895
81,Psychology,2.2,0,27,4.4,LOTS OF HOMEWORK,86%,1273685
82,Health,1.8,0,27,4.4,Amazing lectures,N/A,1441960
83,Mathematics,1.8,0,27,4.8,Gives good feedback,N/A,1735553
84,Psychology,2.5,0,26,2.8,,N/A,238961
85,Economics,3.0,1,26,4.8,Participation matters,100%,1857207
86,Biology,3.8,0,26,3.3,Skip class You wont pass,N/A,808397
87,History,3.7,0,25,4.0,Respected,N/A,257495
88,Sociology,2.4,1,25,4.3,Amazing lectures,N/A,261075
89,Mathematics,3.1,0,25,3.0,,N/A,261860
90,Marketing,2.6,1,25,3.9,,N/A,633682
91,Physics,3.6,0,25,3.3,Tough Grader,N/A,636903
92,Physics,2.4,0,25,3.8,Hilarious,N/A,671474
93,Languages,2.8,1,25,4.5,LOTS OF HOMEWORK,N/A,837553
94,Mathematics,1.7,1,25,5.0,Gives good feedback,N/A,1133702
95,Sociology,1.8,1,25,4.8,Hilarious,100%,1674899
96,Mathematics,3.6,0,25,2.9,LOTS OF HOMEWORK,40%,1684030
97,Mathematics,2.8,0,25,3.8,Respected,N/A,618895
98,Mathematics,2.0,1,24,4.8,Caring,N/A,392424
99,Health,2.4,1,24,4.3,Tough Grader,N/A,722118
100,Management,3.0,0,24,2.9,Get ready to read,N/A,782821
101,Mathematics,3.3,0,24,3.3,Tough Grader,N/A,882306
102,Political,3.5,0,24,3.0,Tough Grader,N/A,1232881
103,Philosophy,3.1,1,24,4.2,Participation matters,100%,1495592
104,Chemistry,4.0,1,24,3.3,Skip class You wont pass,56%,1862472
105,Linguistics,4.0,0,24,2.2,GROUP PROJECTS,N/A,1351303
106,Biology,2.9,1,23,4.6,,N/A,261256
107,English,2.5,0,23,4.8,Gives good feedback,N/A,262072
108,Philosophy,3.1,0,23,4.0,Skip class You wont pass,80%,392406
109,Computer,4.3,0,23,2.1,Tough Grader,N/A,710718
110,Chemistry,3.9,1,23,4.2,Tough Grader,N/A,836781
111,Communication,2.3,0,23,4.8,Gives good feedback,N/A,934377
112,Business,2.9,0,23,4.1,Respected,60%,1127945
113,Fine,4.1,0,22,2.9,,N/A,93487
114,Social,3.3,1,22,4.8,Inspirational,N/A,261073
115,Business,3.4,0,22,4.4,,N/A,263259
116,English,2.3,1,22,4.6,Inspirational,N/A,297753
117,Physics,4.0,0,22,3.2,LOTS OF HOMEWORK,N/A,381407
118,Literature,1.8,1,22,4.8,LECTURE HEAVY,N/A,407360
119,Music,1.1,0,22,4.4,,N/A,408695
120,Economics,2.2,1,22,4.4,Hilarious,N/A,1603797
121,Political,2.3,1,22,5.0,Amazing lectures,N/A,1991949
122,Languages,2.3,0,21,4.6,Participation matters,N/A,93489
123,Writing,3.1,0,21,3.1,Participation matters,N/A,262078
124,Communication,2.8,0,21,3.3,Get ready to read,N/A,450303
125,Languages,1.6,0,21,4.8,Skip class You wont pass,N/A,676140
126,Ethnic,3.0,0,21,3.4,Get ready to read,N/A,1027006
127,Mathematics,3.7,0,21,3.3,Hilarious,N/A,1076637
128,Psychology,2.1,1,21,4.8,EXTRA CREDIT,100%,1623245
129,History,2.9,0,21,3.4,,N/A,1640138
130,Biology,2.7,0,21,4.7,Skip class You wont pass,N/A,1789867
131,Mathematics,2.9,0,20,4.1,,N/A,578803
132,Engineering,3.2,1,20,2.9,LOTS OF HOMEWORK,N/A,595211
133,Family,3.7,0,20,3.1,,N/A,647824
134,Writing,3.4,0,20,3.3,Tough Grader,N/A,647831
135,Political,3.0,0,20,2.7,Hilarious,N/A,833008
136,English,2.8,0,20,4.3,Get ready to read,N/A,835499
137,Mathematics,3.1,0,20,3.2,,N/A,868519
138,Accounting,2.5,1,20,4.7,Respected,N/A,1668990
139,Writing,2.4,0,19,4.3,Tough Grader,88%,262026
140,Communication,2.7,0,19,2.7,,N/A,269519
141,Sociology,3.0,0,19,3.3,Get ready to read,N/A,402461
142,Mathematics,4.7,0,19,1.4,,N/A,452658
143,Anthropology,2.2,1,19,3.9,Tough Grader,N/A,581156
144,Ethnic,3.8,1,19,4.8,,N/A,692695
145,Music,3.7,0,19,3.7,Participation matters,N/A,709548
146,Computer,2.3,0,19,4.2,,N/A,981223
147,Writing,3.8,0,19,3.8,Skip class You wont pass,N/A,1114827
148,Humanities,2.7,1,19,4.3,Tough Grader,N/A,1502293
149,Philosophy,3.9,0,19,2.3,Tough Grader,N/A,1868020
150,Psychology,2.9,0,18,3.6,Tough Grader,N/A,261240
151,English,3.7,0,18,3.4,Get ready to read,N/A,495784
152,Engineering,4.1,0,18,2.3,,N/A,753574
153,History,3.1,0,18,3.5,Clear grading criteria,N/A,930511
154,Linguistics,3.7,0,18,2.9,LECTURE HEAVY,N/A,934587
155,Art,3.4,0,18,2.8,Hilarious,N/A,945188
156,Geography,4.3,0,18,1.5,Clear grading criteria,N/A,961105
157,English,3.0,0,18,4.4,Get ready to read,N/A,1225106
158,Art,2.2,1,18,3.5,Get ready to read,N/A,1236253
159,Mathematics,3.3,0,18,2.6,Skip class You wont pass,25%,1467261
160,Economics,3.3,1,18,3.7,Respected,N/A,1670172
161,Economics,1.8,0,18,4.0,LOTS OF HOMEWORK,N/A,1733238
162,History,4.1,0,18,3.2,Get ready to read,N/A,759228
163,Mathematics,2.4,0,18,4.3,Skip class You wont pass,N/A,865492
164,Sociology,2.9,0,18,3.9,Hilarious,N/A,1818736
165,Physics,3.8,0,17,2.7,,N/A,16773
166,Chemistry,3.5,0,17,3.5,LOTS OF HOMEWORK,N/A,262312
167,Mathematics,1.8,0,17,4.5,Hilarious,N/A,308310
168,Chemistry,3.8,0,17,2.7,Tough Grader,N/A,364106
169,History,3.4,0,17,4.7,Tough Grader,N/A,449519
170,English,2.8,0,17,3.3,Get ready to read,N/A,534019
171,Communication,4.1,0,17,4.4,Get ready to read,N/A,685127
172,Psychology,2.1,1,17,4.6,Get ready to read,N/A,702636
173,Languages,2.6,1,17,4.7,Participation matters,N/A,759322
174,Mathematics,2.7,1,17,4.8,Amazing lectures,N/A,1161096
175,Psychology,1.4,0,17,4.7,EXTRA CREDIT,N/A,1595027
176,Music,1.8,0,17,3.3,Tough Grader,N/A,1606073
177,Chemistry,3.3,0,17,3.7,Caring,N/A,1610837
178,Humanities,1.3,1,17,4.8,Clear grading criteria,N/A,1715919
179,Mathematics,3.1,1,17,4.7,Hilarious,N/A,1956669
180,Music,1.9,0,17,4.5,EXTRA CREDIT,100%,2009935
181,Business,3.4,1,17,5.0,Participation matters,100%,2032461
182,Chemistry,3.9,0,17,3.3,Tough Grader,N/A,717875
183,Biology,3.7,0,17,3.3,Tough Grader,63%,1894089
184,Chemistry,2.8,0,17,3.6,Participation matters,N/A,1143371
185,Communication,3.4,0,17,3.2,LECTURE HEAVY,N/A,1429443
186,Biology,3.4,0,16,3.3,Caring,N/A,209595
187,Music,3.2,0,16,4.5,,N/A,241849
188,Chemistry,3.4,0,16,2.6,,N/A,364093
189,Anthropology,1.9,0,16,3.7,LECTURE HEAVY,N/A,464241
190,Social,3.9,0,16,3.1,,N/A,505230
191,Anthropology,3.6,0,16,3.0,LECTURE HEAVY,N/A,595288
192,Family,2.6,0,16,4.3,Tough Grader,N/A,631369
193,History,3.3,1,16,4.5,Get ready to read,N/A,665350
194,Humanities,3.3,0,16,3.6,GROUP PROJECTS,N/A,694978
195,Writing,2.7,0,16,4.0,Gives good feedback,N/A,711339
196,Political,3.5,0,16,4.6,Get ready to read,N/A,771151
197,Political,2.9,0,16,3.8,Gives good feedback,N/A,816110
198,Business,3.3,1,16,4.6,Participation matters,N/A,827672
199,Political,3.5,0,16,4.3,Amazing lectures,N/A,842218
200,Management,2.5,0,16,4.2,Get ready to read,N/A,898928
201,Economics,3.1,1,16,3.8,Participation matters,N/A,1109300
202,Writing,2.1,1,16,4.7,Hilarious,N/A,1281263
203,Writing,2.4,1,16,4.8,Gives good feedback,N/A,1354350
204,Biology,3.3,0,16,3.9,Tough Grader,N/A,1374740
205,Mathematics,2.4,1,16,4.7,,N/A,1445189
206,Anthropology,3.5,0,16,3.3,Get ready to read,N/A,1495115
207,Psychology,1.7,0,16,4.6,Inspirational,N/A,1640214
208,Statistics,3.4,1,16,4.1,Skip class You wont pass,N/A,1702188
209,Architecture,1.9,0,15,4.7,GROUP PROJECTS,N/A,193493
210,Political,3.3,0,15,3.8,,N/A,261241
211,English,2.1,0,15,4.5,,N/A,262086
212,Geology,2.3,1,15,4.6,Tough Grader,N/A,262209
213,Chemistry,3.7,0,15,3.2,,N/A,262310
214,Political,3.9,1,15,4.3,Hilarious,N/A,298845
215,Writing,2.8,0,15,4.8,Gives good feedback,N/A,445034
216,Sociology,3.1,1,15,3.8,,N/A,461080
217,Health,1.5,1,15,4.8,Amazing lectures,N/A,545091
218,Chemistry,3.8,0,15,2.7,Get ready to read,N/A,561497
219,Management,3.6,0,15,2.3,Tough Grader,N/A,754872
220,Writing,2.9,0,15,3.2,Get ready to read,N/A,758419
221,Languages,2.7,1,15,4.5,Caring,N/A,764984
222,Political,2.7,0,15,4.1,,N/A,881652
223,Linguistics,2.3,0,15,3.2,Participation matters,N/A,913891
224,Economics,2.1,1,15,4.3,,N/A,982408
225,Economics,3.4,0,15,4.3,Skip class You wont pass,N/A,1031066
226,Economics,3.3,1,15,3.8,,N/A,1061909
227,Psychology,1.5,0,15,4.0,Clear grading criteria,N/A,1180973
228,Sociology,1.5,0,15,4.8,,N/A,1367335
229,Business,3.6,0,15,3.9,Get ready to read,N/A,1459487
230,Health,1.6,1,15,4.6,Participation matters,N/A,1471666
231,Chemistry,3.1,0,15,4.2,Skip class You wont pass,N/A,1504488
232,Communication,3.0,0,15,3.1,Tough Grader,N/A,1723262
233,Computer,3.0,0,15,3.6,Hilarious,60%,2017887
234,Mathematics,3.7,0,15,2.0,Get ready to read,N/A,748177
235,Civil,3.5,0,15,2.5,Tough Grader,20%,1892231
236,English,4.6,1,14,4.5,Get ready to read,N/A,139048
237,Management,2.9,1,14,4.5,Tough Grader,N/A,220338
238,Film,2.5,0,14,3.6,Gives good feedback,N/A,250918
239,Engineering,3.1,0,14,4.5,Amazing lectures,N/A,284705
240,Anthropology,3.5,0,14,3.1,Tough Grader,N/A,620495
241,Economics,3.7,0,14,3.2,Tough Grader,N/A,671414
242,Health,3.5,0,14,3.0,Tough Grader,N/A,733707
243,Sociology,3.0,1,14,3.4,Tough Grader,N/A,825778
244,Family,2.4,1,14,4.7,,N/A,838338
245,Sociology,2.1,1,14,4.6,LOTS OF HOMEWORK,N/A,920214
246,Linguistics,2.6,0,14,2.7,Participation matters,N/A,974970
247,Urban,2.6,0,14,4.4,LOTS OF HOMEWORK,N/A,982331
248,Mechanical,3.7,0,14,2.8,,N/A,1190180
249,Philosophy,2.6,1,14,4.5,Amazing lectures,N/A,1229175
250,Biology,3.4,0,14,3.6,Skip class You wont pass,N/A,1276713
251,Mathematics,3.0,0,14,3.0,,N/A,1614877
252,Chemistry,4.1,0,14,1.7,Skip class You wont pass,N/A,1642639
253,Communication,2.7,1,14,4.3,Participation matters,N/A,1688909
254,Communication,3.4,0,14,4.5,Respected,N/A,1748181
255,Political,4.3,0,14,2.8,Get ready to read,N/A,1850566
256,Fine,3.9,0,13,2.4,LOTS OF HOMEWORK,N/A,132291
257,Sociology,2.2,0,13,4.3,,N/A,241851
258,History,3.1,0,13,4.0,,N/A,261671
259,Film,2.1,0,13,4.5,Clear grading criteria,N/A,536013
260,Theater,1.7,0,13,4.3,LOTS OF HOMEWORK,N/A,592958
261,Family,2.8,0,13,3.8,Clear grading criteria,67%,615966
262,Writing,3.2,1,13,4.2,,N/A,671248
263,Communication,3.6,0,13,2.3,Get ready to read,N/A,705339
264,English,2.5,1,13,4.1,Skip class You wont pass,N/A,762502
265,Writing,2.3,0,13,4.9,Gives good feedback,N/A,774368
266,Mathematics,3.4,0,13,3.7,Clear grading criteria,N/A,789241
267,English,2.8,0,13,3.5,Tough Grader,N/A,817409
268,Exercise,2.8,0,13,4.0,Get ready to read,N/A,1058063
269,Business,2.6,0,13,4.9,,N/A,1059906
270,Art,3.5,0,13,2.5,Participation matters,N/A,1110940
271,English,4.0,1,13,4.2,Get ready to read,N/A,1130350
272,Mathematics,3.9,0,13,2.5,Gives good feedback,N/A,1361908
273,Architecture,2.9,0,13,2.7,Amazing lectures,N/A,1413974
274,Geography,2.8,0,13,4.7,Caring,N/A,1434463
275,Exercise,2.6,0,13,2.5,Tough Grader,N/A,1628550
276,Chemical,2.5,0,13,3.6,Get ready to read,N/A,1710812
277,Mathematics,2.9,1,13,4.5,Caring,N/A,1713720
278,Mathematics,3.6,0,13,1.8,LOTS OF HOMEWORK,N/A,1720091
279,Finance,3.7,0,13,2.6,Tough Grader,N/A,1725551
280,Management,2.1,1,13,4.5,Inspirational,N/A,1863208
281,Business,2.0,0,13,4.4,Caring,N/A,1892424
282,Computer,3.5,0,13,3.1,LOTS OF HOMEWORK,43%,1901667
283,Statistics,3.6,1,13,3.6,GROUP PROJECTS,N/A,1922791
284,Health,2.0,1,13,4.5,Participation matters,N/A,1968957
285,Communication,4.1,0,13,3.3,Tough Grader,20%,1713099
286,Economics,3.2,0,13,3.5,Tough Grader,N/A,1798898
287,Biology,2.6,0,13,4.2,Participation matters,N/A,717876
288,Economics,2.6,0,12,4.8,,N/A,261973
289,Economics,3.3,0,12,3.7,Tough Grader,N/A,271150
290,Fine,2.3,0,12,4.3,Inspirational,N/A,300097
291,Humanities,2.2,1,12,4.6,Participation matters,N/A,354739
292,English,3.8,1,12,3.4,,N/A,372230
293,Family,2.9,1,12,3.5,LOTS OF HOMEWORK,40%,498354
294,Economics,3.4,0,12,3.5,,N/A,549985
295,Women's,2.7,0,12,3.4,,N/A,581437
296,Computer,3.8,0,12,3.1,LOTS OF HOMEWORK,N/A,664870
297,Communication,2.2,1,12,4.8,Respected,N/A,672018
298,History,3.8,1,12,4.4,Get ready to read,N/A,687691
299,Geology,1.9,0,12,4.6,,N/A,703162
300,Biology,3.8,0,12,2.4,Tough Grader,N/A,733050
301,English,3.1,0,12,3.9,Gives good feedback,N/A,814939
302,Foods,3.6,0,12,2.7,Gives good feedback,N/A,882305
303,English,2.9,0,12,3.7,Gives good feedback,N/A,883341
304,Mechanical,2.8,0,12,3.7,LOTS OF HOMEWORK,N/A,990241
305,History,2.8,0,12,4.3,EXTRA CREDIT,N/A,1066061
306,Business,3.1,0,12,3.4,Caring,N/A,1279315
307,Sociology,2.2,1,12,4.9,Gives good feedback,N/A,1307490
308,Mechanical,3.7,0,12,3.0,LOTS OF HOMEWORK,N/A,1562741
309,Mathematics,3.0,0,12,2.8,LOTS OF HOMEWORK,N/A,1569395
310,Writing,3.3,0,12,2.4,Tough Grader,N/A,1646093
311,Mathematics,3.8,0,12,2.0,Tough Grader,N/A,1795704
312,Mathematics,1.6,1,12,4.9,Clear grading criteria,N/A,1799031
313,Economics,3.6,1,12,3.0,Tough Grader,N/A,1802861
314,Communication,3.1,0,12,2.3,Caring,N/A,675354
315,Mathematics,3.3,0,12,3.9,LOTS OF HOMEWORK,N/A,1832466
316,Engineering,3.8,0,11,4.6,Tough Grader,N/A,131757
317,Philosophy,3.7,1,11,4.1,,N/A,135251
318,Philosophy,3.3,0,11,4.1,,N/A,135265
319,Chemistry,4.0,0,11,2.2,,N/A,255788
320,Health,2.6,0,11,3.0,,N/A,261107
321,Computer,3.5,0,11,4.6,Caring,N/A,261464
322,Political,3.3,0,11,4.5,LECTURE HEAVY,N/A,263426
323,Fine,4.4,0,11,3.6,Skip class You wont pass,N/A,300101
324,History,4.0,0,11,3.7,Tough Grader,N/A,562196
325,Languages,2.2,1,11,4.3,LOTS OF HOMEWORK,N/A,668440
326,Mathematics,3.5,0,11,3.8,Gives good feedback,N/A,672048
327,Fine,3.3,0,11,3.5,Gives good feedback,N/A,676396
328,Physics,3.9,0,11,3.0,Tough Grader,N/A,676738
329,Film,3.1,0,11,4.6,Skip class You wont pass,N/A,702078
330,Music,2.6,0,11,3.1,,N/A,717873
331,Philosophy,3.7,0,11,4.1,Amazing lectures,N/A,750205
332,Health,2.5,0,11,4.2,Get ready to read,N/A,772509
333,English,3.4,0,11,2.7,Get ready to read,N/A,831053
334,Film,3.3,0,11,2.6,Gives good feedback,N/A,837199
335,English,4.2,0,11,4.3,Get ready to read,N/A,844982
336,Marketing,4.2,0,11,3.0,Tough Grader,N/A,895487
337,Political,2.7,1,11,4.5,,N/A,964094
338,Languages,2.6,0,11,3.3,,N/A,1087492
339,Chemistry,4.7,0,11,3.9,Tough Grader,N/A,1120133
340,Family,1.9,1,11,4.9,Get ready to read,N/A,1170485
341,Political,2.8,0,11,2.9,,N/A,1262428
342,Languages,3.2,0,11,3.9,Tough Grader,N/A,1269982
343,Mathematics,2.7,0,11,4.5,LOTS OF HOMEWORK,N/A,1285436
344,Accounting,3.7,1,11,2.8,Respected,N/A,1336869
345,Economics,4.5,0,11,1.4,Tough Grader,N/A,1390757
346,Mathematics,2.4,1,11,4.8,Inspirational,N/A,1491325
347,Mathematics,2.7,1,11,4.6,Caring,N/A,1495403
348,Physics,3.7,0,11,4.2,Amazing lectures,N/A,1567743
349,Mathematics,3.5,0,11,2.8,BEWARE OF POP QUIZZES,N/A,1637829
350,Writing,3.1,0,11,3.8,Hilarious,N/A,1668670
351,Mathematics,3.2,0,11,3.1,LOTS OF HOMEWORK,N/A,1679189
352,Biology,4.1,0,11,3.8,Skip class You wont pass,N/A,1702769
353,Economics,3.5,0,11,2.3,Tough Grader,N/A,1721964
354,Communication,2.1,0,11,4.9,EXTRA CREDIT,N/A,1779373
355,Social,3.5,1,11,4.5,Amazing lectures,N/A,1813271
356,Mathematics,2.9,1,11,3.8,Caring,N/A,1830149
357,Business,3.5,0,11,4.1,Caring,N/A,1885315
358,Architecture,3.1,0,11,3.8,Skip class You wont pass,N/A,1961631
359,Communication,3.2,1,11,4.0,Skip class You wont pass,60%,2052644
360,Music,1.2,0,11,3.0,Clear grading criteria,29%,2087221
361,Not,3.6,0,11,4.4,Tough Grader,80%,1701841
362,Biology,3.5,0,11,3.5,TEST HEAVY,N/A,520574
363,History,3.7,1,11,2.5,Tough Grader,N/A,1938016
364,History,3.3,0,10,3.9,Gives good feedback,N/A,261667
365,Mathematics,3.2,0,10,3.2,ACCESSIBLE OUTSIDE CLASS,N/A,262083
366,Engineering,2.7,0,10,5.0,,N/A,264310
367,Anthropology,2.3,0,10,4.1,,N/A,269816
368,Philosophy,3.1,0,10,2.3,,N/A,286594
369,Fine,3.0,0,10,3.1,,N/A,300099
370,Sociology,2.3,1,10,3.0,,N/A,364011
371,English,3.2,1,10,4.8,Get ready to read,N/A,392421
372,English,1.3,0,10,4.2,Participation matters,N/A,471944
373,Philosophy,3.5,0,10,3.2,Gives good feedback,N/A,509824
374,Business,3.3,0,10,3.3,,N/A,535252
375,Education,2.9,1,10,3.9,,N/A,627202
376,Anthropology,2.8,0,10,3.5,Amazing lectures,N/A,676426
377,Psychology,1.7,0,10,4.9,,N/A,689400
378,Writing,2.8,0,10,3.8,Clear grading criteria,N/A,689609
379,Mathematics,2.2,1,10,4.6,Skip class You wont pass,N/A,768824
380,Anthropology,2.7,0,10,3.5,,N/A,779101
381,Writing,2.2,1,10,4.9,,N/A,874103
382,History,3.2,0,10,3.8,Tough Grader,N/A,962198
383,Finance,3.5,1,10,4.1,Skip class You wont pass,N/A,1017986
384,Economics,3.2,0,10,3.1,,N/A,1033008
385,Architecture,2.2,0,10,4.7,Amazing lectures,N/A,1048666
386,Family,2.6,0,10,2.5,Skip class You wont pass,N/A,1054825
387,Political,2.9,0,10,3.4,Caring,N/A,1057423
388,Psychology,2.6,0,10,3.7,Skip class You wont pass,N/A,1121009
389,Communication,2.0,0,10,4.2,,N/A,1123145
390,Art,4.0,0,10,2.7,Tough Grader,N/A,1145310
391,Mathematics,3.8,1,10,3.5,,N/A,1184206
392,Geography,2.6,1,10,3.3,Clear grading criteria,N/A,1229504
393,Health,3.7,0,10,2.8,Tough Grader,N/A,1231312
394,Physics,4.2,0,10,3.0,Tough Grader,N/A,1256910
395,English,3.6,1,10,4.0,,N/A,1308200
396,Physics,3.2,0,10,2.2,LOTS OF HOMEWORK,N/A,1310306
397,Philosophy,3.3,0,10,4.2,Skip class You wont pass,N/A,1359409
398,Health,3.3,1,10,5.0,,N/A,1388603
399,Languages,3.0,0,10,3.7,Participation matters,N/A,1424597
400,Physics,3.3,0,10,4.7,Amazing lectures,N/A,1434098
401,Sociology,2.2,0,10,4.8,,N/A,1501649
402,Communication,3.5,0,10,4.0,,N/A,1501692
403,Languages,2.3,1,10,4.6,Participation matters,N/A,1522303
404,Biology,2.7,0,10,3.0,Get ready to read,N/A,1612484
405,Accounting,3.8,1,10,4.9,Skip class You wont pass,N/A,1666545
406,Physics,2.8,0,10,3.9,LOTS OF HOMEWORK,N/A,1683277
407,Mathematics,2.6,1,10,3.6,,N/A,1710097
408,Business,2.1,0,10,4.1,Inspirational,N/A,1721796
409,Mathematics,3.1,0,10,3.6,Skip class You wont pass,N/A,1723863
410,Geology,2.6,0,10,3.6,Gives good feedback,N/A,1737896
411,English,3.7,1,10,3.3,Get ready to read,N/A,1773243
412,Accounting,3.3,1,10,3.8,Caring,N/A,1774496
413,Health,3.5,1,10,3.5,Tough Grader,N/A,1783295
414,Communication,2.5,1,10,4.9,Gives good feedback,N/A,1844341
415,Mechanical,3.5,1,10,4.0,Tough Grader,N/A,1870670
416,Chemistry,3.0,0,10,3.9,Hilarious,71%,1948812
417,Biology,4.0,0,10,4.8,Skip class You wont pass,100%,2011580
418,Health,4.1,0,10,1.6,LOTS OF HOMEWORK,17%,2040417
419,History,2.4,0,10,3.2,Get ready to read,N/A,251393
420,Political,2.6,0,10,3.5,Get ready to read,N/A,1457879
421,Biology,4.1,0,10,3.0,Tough Grader,N/A,1866163
422,English,2.0,0,9,3.2,Gives good feedback,N/A,134022
423,Communication,2.9,0,9,3.4,,N/A,250480
424,Health,1.8,0,9,3.7,,N/A,312180
425,Chemistry,2.2,0,9,4.4,,N/A,343994
426,Languages,2.7,1,9,4.6,Caring,N/A,498401
427,Economics,3.0,0,9,3.3,,N/A,509826
428,Mathematics,3.6,0,9,4.5,Gives good feedback,N/A,566281
429,Computer,1.7,0,9,2.2,,N/A,575061
